date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:59:19	163776/163776	U-----	200	untouched ('')	image/png	date:Fri,%2029%20Jun%202018%2001:59:16%20GMT	https://www.calstatela.edu/sites/default/files/groups/High%20Performance%20Information%20Computing%20Center%20(HiPIC)/images/isaactechadv.png	D:/isAppsE/calStateLA/dataJ/bigData/materials/bigdai/www.calstatela.edu/sites/default/files/groups/High%20Performance%20Information%20Computing%20Center%20(HiPIC)/images/isaactechadv.png	(from https://www.calstatela.edu/centers/hipic/news-events)
12:59:19	31251/31251	U-----	200	untouched ('')	image/jpeg	date:Wed,%2006%20Sep%202017%2016:49:07%20GMT	https://www.calstatela.edu/sites/default/files/groups/High%20Performance%20Information%20Computing%20Center%20(HiPIC)/media/sigdsa2017.jpg	D:/isAppsE/calStateLA/dataJ/bigData/materials/bigdai/www.calstatela.edu/sites/default/files/groups/High%20Performance%20Information%20Computing%20Center%20(HiPIC)/media/sigdsa2017.jpg	(from https://www.calstatela.edu/centers/hipic/news-events)
12:59:19	26719/26719	U-----	200	untouched ('')	image/jpeg	date:Wed,%2006%20Sep%202017%2016:31:25%20GMT	https://www.calstatela.edu/sites/default/files/groups/High%20Performance%20Information%20Computing%20Center%20(HiPIC)/media/aws2015.jpg	D:/isAppsE/calStateLA/dataJ/bigData/materials/bigdai/www.calstatela.edu/sites/default/files/groups/High%20Performance%20Information%20Computing%20Center%20(HiPIC)/media/aws2015.jpg	(from https://www.calstatela.edu/centers/hipic/news-events)
12:59:19	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2030%20Mar%202022%2019:59:22%20GMT	http://www.calstatela.edu/robots.txt		(from https://www.calstatela.edu/centers/hipic)
12:59:19	68214/68214	U-----	200	untouched ('')	image/jpeg	date:Wed,%2006%20Sep%202017%2016:23:03%20GMT	https://www.calstatela.edu/sites/default/files/groups/High%20Performance%20Information%20Computing%20Center%20(HiPIC)/media/tun17.jpg	D:/isAppsE/calStateLA/dataJ/bigData/materials/bigdai/www.calstatela.edu/sites/default/files/groups/High%20Performance%20Information%20Computing%20Center%20(HiPIC)/media/tun17.jpg	(from https://www.calstatela.edu/centers/hipic/news-events)
13:00:23	95388/95388	U-----	200	untouched ('')	image/jpeg	date:Wed,%2006%20Sep%202017%2016:26:08%20GMT	https://www.calstatela.edu/sites/default/files/groups/High%20Performance%20Information%20Computing%20Center%20(HiPIC)/media/tun17_2.jpg	D:/isAppsE/calStateLA/dataJ/bigData/materials/bigdai/www.calstatela.edu/sites/default/files/groups/High%20Performance%20Information%20Computing%20Center%20(HiPIC)/media/tun17_2.jpg	(from https://www.calstatela.edu/centers/hipic/news-events)
13:00:23	54237/54237	U-----	200	untouched ('')	image/jpeg	date:Wed,%2006%20Sep%202017%2017:03:44%20GMT	https://www.calstatela.edu/sites/default/files/groups/High%20Performance%20Information%20Computing%20Center%20(HiPIC)/media/softzenmou.jpg	D:/isAppsE/calStateLA/dataJ/bigData/materials/bigdai/www.calstatela.edu/sites/default/files/groups/High%20Performance%20Information%20Computing%20Center%20(HiPIC)/media/softzenmou.jpg	(from https://www.calstatela.edu/centers/hipic/news-events)
13:00:23	57505/57505	U-----	200	untouched ('')	image/jpeg	date:Wed,%2006%20Sep%202017%2017:03:02%20GMT	https://www.calstatela.edu/sites/default/files/groups/High%20Performance%20Information%20Computing%20Center%20(HiPIC)/media/keynoteksci2017.jpg	D:/isAppsE/calStateLA/dataJ/bigData/materials/bigdai/www.calstatela.edu/sites/default/files/groups/High%20Performance%20Information%20Computing%20Center%20(HiPIC)/media/keynoteksci2017.jpg	(from https://www.calstatela.edu/centers/hipic/news-events)
13:00:23	72061/72061	U-----	200	untouched ('')	image/jpeg	date:Wed,%2006%20Sep%202017%2017:03:38%20GMT	https://www.calstatela.edu/sites/default/files/groups/High%20Performance%20Information%20Computing%20Center%20(HiPIC)/media/bigdatalg.jpg	D:/isAppsE/calStateLA/dataJ/bigData/materials/bigdai/www.calstatela.edu/sites/default/files/groups/High%20Performance%20Information%20Computing%20Center%20(HiPIC)/media/bigdatalg.jpg	(from https://www.calstatela.edu/centers/hipic/news-events)
13:01:26	91573/91573	U-----	200	untouched ('')	image/jpeg	date:Wed,%2006%20Sep%202017%2017:03:27%20GMT	https://www.calstatela.edu/sites/default/files/groups/High%20Performance%20Information%20Computing%20Center%20(HiPIC)/media/elasticsearchmeetup.jpg	D:/isAppsE/calStateLA/dataJ/bigData/materials/bigdai/www.calstatela.edu/sites/default/files/groups/High%20Performance%20Information%20Computing%20Center%20(HiPIC)/media/elasticsearchmeetup.jpg	(from https://www.calstatela.edu/centers/hipic/news-events)
13:01:26	3630/3630	U-----	200	untouched ('')	image/png	date:Wed,%2006%20Sep%202017%2016:16:47%20GMT	https://www.calstatela.edu/sites/default/files/groups/High%20Performance%20Information%20Computing%20Center%20(HiPIC)/media/tn_clouderainterview20141112_161322.png	D:/isAppsE/calStateLA/dataJ/bigData/materials/bigdai/www.calstatela.edu/sites/default/files/groups/High%20Performance%20Information%20Computing%20Center%20(HiPIC)/media/tn_clouderainterview20141112_161322.png	(from https://www.calstatela.edu/centers/hipic/news-events)
13:01:26	124792/124792	U-----	200	untouched ('')	image/jpeg	date:Wed,%2006%20Sep%202017%2016:16:42%20GMT	https://www.calstatela.edu/sites/default/files/groups/High%20Performance%20Information%20Computing%20Center%20(HiPIC)/media/segye20150710021092_0.jpg	D:/isAppsE/calStateLA/dataJ/bigData/materials/bigdai/www.calstatela.edu/sites/default/files/groups/High%20Performance%20Information%20Computing%20Center%20(HiPIC)/media/segye20150710021092_0.jpg	(from https://www.calstatela.edu/centers/hipic/news-events)
13:01:26	8735/8735	U-----	200	untouched ('')	image/jpeg	date:Wed,%2006%20Sep%202017%2016:16:52%20GMT	https://www.calstatela.edu/sites/default/files/groups/High%20Performance%20Information%20Computing%20Center%20(HiPIC)/media/tn_jwcbs.jpg	D:/isAppsE/calStateLA/dataJ/bigData/materials/bigdai/www.calstatela.edu/sites/default/files/groups/High%20Performance%20Information%20Computing%20Center%20(HiPIC)/media/tn_jwcbs.jpg	(from https://www.calstatela.edu/centers/hipic/news-events)
13:02:29	126975/126975	U-----	200	untouched ('')	image/png	date:Wed,%2006%20Sep%202017%2016:16:35%20GMT	https://www.calstatela.edu/sites/default/files/groups/High%20Performance%20Information%20Computing%20Center%20(HiPIC)/media/resized_clouderamark.png	D:/isAppsE/calStateLA/dataJ/bigData/materials/bigdai/www.calstatela.edu/sites/default/files/groups/High%20Performance%20Information%20Computing%20Center%20(HiPIC)/media/resized_clouderamark.png	(from https://www.calstatela.edu/centers/hipic/news-events)
13:02:30	1866/1866	U-----	200	untouched ('')	image/jpeg	date:Wed,%2006%20Sep%202017%2016:16:57%20GMT	https://www.calstatela.edu/sites/default/files/groups/High%20Performance%20Information%20Computing%20Center%20(HiPIC)/media/tn_j-woo2.jpg	D:/isAppsE/calStateLA/dataJ/bigData/materials/bigdai/www.calstatela.edu/sites/default/files/groups/High%20Performance%20Information%20Computing%20Center%20(HiPIC)/media/tn_j-woo2.jpg	(from https://www.calstatela.edu/centers/hipic/news-events)
13:02:30	41757/41757	U-----	200	untouched ('')	image/jpeg	date:Sat,%2016%20May%202020%2021:38:50%20GMT	https://www.calstatela.edu/sites/default/files/groups/High%20Performance%20Information%20Computing%20Center%20(HiPIC)/images/cis5560titlesun_0.jpg	D:/isAppsE/calStateLA/dataJ/bigData/materials/bigdai/www.calstatela.edu/sites/default/files/groups/High%20Performance%20Information%20Computing%20Center%20(HiPIC)/images/cis5560titlesun_0.jpg	(from https://www.calstatela.edu/centers/hipic/big-data-classes)
13:02:30	26999/26999	U-----	200	untouched ('')	image/png	date:Sat,%2016%20May%202020%2020:47:37%20GMT	https://www.calstatela.edu/sites/default/files/groups/High%20Performance%20Information%20Computing%20Center%20(HiPIC)/images/spark-logo-trademark.png	D:/isAppsE/calStateLA/dataJ/bigData/materials/bigdai/www.calstatela.edu/sites/default/files/groups/High%20Performance%20Information%20Computing%20Center%20(HiPIC)/images/spark-logo-trademark.png	(from https://www.calstatela.edu/centers/hipic/big-data-classes)
13:02:31	23089/23089	U--M-Z	200	updated ('OK')	application/javascript	etag:%225a31-5da3271ffbb58-gzip%22	https://public.tableau.com/javascripts/api/viz_v1.js	D:/isAppsE/calStateLA/dataJ/bigData/materials/bigdai/public.tableau.com/javascripts/api/viz_v1.js	(from https://www.calstatela.edu/centers/hipic/vaccination-covid-19-0)
13:02:31	3552/3552	U--M--	200	updated ('OK')	image/png	etag:%223552%22	https://public.tableau.com/static/images/KX/KX4S5BSNG/1_rss.png	D:/isAppsE/calStateLA/dataJ/bigData/materials/bigdai/public.tableau.com/static/images/KX/KX4S5BSNG/1_rss.png	(from https://www.calstatela.edu/centers/hipic/covid-19-us-ca-confirmed-prediction)
13:02:33	3552/3552	U--M--	200	updated ('OK')	image/png	etag:%223552%22	https://public.tableau.com/static/images/KX/KX4S5BSNG/1.png	D:/isAppsE/calStateLA/dataJ/bigData/materials/bigdai/public.tableau.com/static/images/KX/KX4S5BSNG/1.png	(from https://www.calstatela.edu/centers/hipic/covid-19-us-ca-confirmed-prediction)
13:02:33	22756/22756	U-----	200	untouched ('')	image/jpeg	date:Sat,%2016%20May%202020%2021:45:03%20GMT	https://www.calstatela.edu/sites/default/files/groups/High%20Performance%20Information%20Computing%20Center%20(HiPIC)/images/cis5200title.jpg	D:/isAppsE/calStateLA/dataJ/bigData/materials/bigdai/www.calstatela.edu/sites/default/files/groups/High%20Performance%20Information%20Computing%20Center%20(HiPIC)/images/cis5200title.jpg	(from https://www.calstatela.edu/centers/hipic/big-data-classes)
